locus_tag	ftype	length_bp	gene	EC_number	COG	product
GFGBILMD_00085	CDS	2187	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
GFGBILMD_00086	CDS	654				hypothetical protein
GFGBILMD_00087	CDS	1152		6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
GFGBILMD_00088	CDS	723	sodC	1.15.1.1	COG2032	Superoxide dismutase [Cu-Zn]
GFGBILMD_00089	CDS	474				hypothetical protein
GFGBILMD_00090	CDS	309				hypothetical protein
GFGBILMD_00091	CDS	594	def	3.5.1.88	COG0242	Peptide deformylase
GFGBILMD_00092	CDS	909				hypothetical protein
GFGBILMD_00093	CDS	876	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
GFGBILMD_00094	CDS	444				hypothetical protein
GFGBILMD_00095	CDS	4620	ctpI_1	3.6.3.-	COG0474	putative cation-transporting ATPase I
GFGBILMD_00096	CDS	276				hypothetical protein
GFGBILMD_00097	CDS	1644	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
GFGBILMD_00098	CDS	828	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
GFGBILMD_00099	CDS	630				hypothetical protein
GFGBILMD_00100	CDS	342				hypothetical protein
GFGBILMD_00101	CDS	1497				hypothetical protein
GFGBILMD_00102	CDS	1503	lpqL	3.4.11.1	COG2234	putative lipoprotein aminopeptidase LpqL
GFGBILMD_00103	CDS	759	thiG	2.8.1.10	COG2022	Thiazole synthase
GFGBILMD_00104	CDS	207				hypothetical protein
GFGBILMD_00105	CDS	1023	thiO	1.4.3.19	COG0665	Glycine oxidase
GFGBILMD_00106	CDS	669	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
GFGBILMD_00107	CDS	594	mutT3	3.6.1.55	COG0494	Putative 8-oxo-dGTP diphosphatase 3
GFGBILMD_00108	CDS	1320				hypothetical protein
GFGBILMD_00109	CDS	987				hypothetical protein
GFGBILMD_00110	CDS	2253	pknG	2.7.11.1	COG0515	Serine/threonine-protein kinase PknG
GFGBILMD_00111	CDS	1158	ackA	2.7.2.1	COG0282	Acetate kinase
GFGBILMD_00112	CDS	2073	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
GFGBILMD_00113	CDS	1011	fgd1_1	1.1.98.2	COG2141	F420-dependent glucose-6-phosphate dehydrogenase
GFGBILMD_00114	CDS	819				NCBIFAM: metallo-beta-lactamase core region
GFGBILMD_00115	CDS	4170				hypothetical protein
GFGBILMD_00116	CDS	1206		6.2.1.-	COG0318	Long-chain-fatty-acid--AMP ligase FadD30
GFGBILMD_00117	CDS	429	mmpS4_2			Siderophore export accessory protein MmpS4
GFGBILMD_00118	CDS	2877	mmpL1		COG2409	putative transport protein MmpL1
GFGBILMD_00119	CDS	372				hypothetical protein
GFGBILMD_00120	CDS	1188	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
GFGBILMD_00121	CDS	1230				NCBIFAM: cephalosporin-hydrolyzing class C beta-lactamase
GFGBILMD_00122	CDS	642				hypothetical protein
GFGBILMD_00123	CDS	369				hypothetical protein
GFGBILMD_00124	CDS	417				hypothetical protein
GFGBILMD_00125	CDS	405				hypothetical protein
GFGBILMD_00126	CDS	720				hypothetical protein
GFGBILMD_00127	CDS	987				hypothetical protein
GFGBILMD_00128	CDS	192				hypothetical protein
GFGBILMD_00129	CDS	1413	norW	1.18.1.-		Nitric oxide reductase FlRd-NAD(+) reductase
GFGBILMD_00130	CDS	1221	metZ	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
GFGBILMD_00131	CDS	381				hypothetical protein
GFGBILMD_00132	CDS	1260	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
GFGBILMD_00133	CDS	1332				putative PPE family protein PPE32
GFGBILMD_00134	CDS	3258			COG2771	Putative HTH-type transcriptional regulator
GFGBILMD_00135	CDS	1278	hmp_1	1.14.12.17		Flavohemoprotein
GFGBILMD_00136	CDS	2547	clpB		COG0542	Chaperone protein ClpB
GFGBILMD_00137	CDS	855				hypothetical protein
GFGBILMD_00138	CDS	540	pyrE_1	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
GFGBILMD_00139	CDS	909				hypothetical protein
GFGBILMD_00140	CDS	651	trmH	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
GFGBILMD_00141	CDS	201	secE2		COG3360	Calcium dodecin
GFGBILMD_00142	CDS	225				hypothetical protein
GFGBILMD_00143	CDS	966			COG0583	putative HTH-type transcriptional regulator
GFGBILMD_00144	CDS	1143	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
GFGBILMD_00145	CDS	903	cutM	1.2.5.3		Carbon monoxide dehydrogenase medium chain
GFGBILMD_00146	CDS	480	coxS	1.2.5.3		Carbon monoxide dehydrogenase small chain
GFGBILMD_00147	CDS	2400	cutL	1.2.5.3		Carbon monoxide dehydrogenase large chain
GFGBILMD_00148	CDS	756				hypothetical protein
GFGBILMD_00149	CDS	594	pucB		COG2068	Purine catabolism protein PucB
GFGBILMD_00150	CDS	897				hypothetical protein
GFGBILMD_00151	CDS	603				hypothetical protein
GFGBILMD_00152	CDS	1221				hypothetical protein
GFGBILMD_00153	CDS	390				hypothetical protein
GFGBILMD_00154	CDS	594				hypothetical protein
GFGBILMD_00155	CDS	1131				hypothetical protein
GFGBILMD_00156	CDS	684			COG0586	putative membrane protein
GFGBILMD_00157	CDS	1035	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
GFGBILMD_00158	CDS	1383			COG2239	Magnesium transporter MgtE
GFGBILMD_00159	CDS	828				hypothetical protein
GFGBILMD_00160	CDS	438				hypothetical protein
GFGBILMD_00161	CDS	780	rip2		COG1994	Putative zinc metalloprotease Rip2
GFGBILMD_00162	CDS	648				hypothetical protein
GFGBILMD_00163	CDS	1299	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
GFGBILMD_00164	CDS	645				hypothetical protein
GFGBILMD_00165	CDS	9732				hypothetical protein
GFGBILMD_00166	CDS	552				hypothetical protein
GFGBILMD_00167	CDS	381	hspR		COG0789	Putative heat shock protein HspR
GFGBILMD_00168	CDS	1188	dnaJ1		COG0484	Chaperone protein DnaJ 1
GFGBILMD_00169	CDS	708	grpE		COG0576	Protein GrpE
GFGBILMD_00170	CDS	1878	dnaK_1		COG0443	Chaperone protein DnaK
GFGBILMD_00171	CDS	660				hypothetical protein
GFGBILMD_00172	CDS	654				hypothetical protein
GFGBILMD_00173	CDS	813				hypothetical protein
GFGBILMD_00174	CDS	1464	ansP2		COG1113	L-asparagine permease 2
GFGBILMD_00175	CDS	417				hypothetical protein
GFGBILMD_00176	CDS	561				hypothetical protein
GFGBILMD_00177	CDS	1482	iniC		COG0699	Isoniazid-induced protein IniC
GFGBILMD_00178	CDS	1923	iniA		COG0699	Isoniazid-induced protein IniA
GFGBILMD_00179	CDS	1428	iniB			Isoniazid-induced protein IniB
GFGBILMD_00180	CDS	540				hypothetical protein
GFGBILMD_00181	CDS	2451				hypothetical protein
GFGBILMD_00182	CDS	2649				hypothetical protein
GFGBILMD_00183	CDS	1290	aspC_1	2.6.1.1	COG0436	putative aspartate aminotransferase
GFGBILMD_00184	CDS	1098	bioB	2.8.1.6	COG0502	Biotin synthase
GFGBILMD_00185	CDS	240				putative protein
GFGBILMD_00186	CDS	666				putative protein
GFGBILMD_00187	CDS	1341				putative inactive lipase
GFGBILMD_00188	CDS	711				hypothetical protein
GFGBILMD_00189	CDS	1050	nadA	2.5.1.72	COG0379	Quinolinate synthase A
GFGBILMD_00190	CDS	1587	nadB	1.4.3.16	COG0029	L-aspartate oxidase
GFGBILMD_00191	CDS	858	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
GFGBILMD_00192	CDS	759				hypothetical protein
GFGBILMD_00193	CDS	411				hypothetical protein
GFGBILMD_00194	CDS	1335	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
GFGBILMD_00195	CDS	1143	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
GFGBILMD_00196	CDS	633	hisB_1	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
GFGBILMD_00197	CDS	621	hisH	4.3.2.10		Imidazole glycerol phosphate synthase subunit HisH
GFGBILMD_00198	CDS	735	priA_1	5.3.1.16	COG0106	Phosphoribosyl isomerase A
GFGBILMD_00199	CDS	813	impA	3.1.3.25	COG0483	putative inositol 1-monophosphatase ImpA
GFGBILMD_00200	CDS	804	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
GFGBILMD_00201	CDS	348	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
GFGBILMD_00202	CDS	1083	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
GFGBILMD_00203	CDS	465	bcpB	1.11.1.15	COG1225	Putative peroxiredoxin
GFGBILMD_00204	CDS	1551	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
GFGBILMD_00205	CDS	660				hypothetical protein
GFGBILMD_00206	CDS	819	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
GFGBILMD_00207	CDS	1266	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
GFGBILMD_00208	CDS	813	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
GFGBILMD_00209	CDS	1410	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
GFGBILMD_00210	CDS	396				hypothetical protein
GFGBILMD_00211	CDS	399				hypothetical protein
GFGBILMD_00212	CDS	1419	pyk	2.7.1.40	COG0469	Pyruvate kinase
GFGBILMD_00213	CDS	921	tesB_1	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
GFGBILMD_00214	CDS	1455	lysX_1		COG1190	Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX
GFGBILMD_00215	CDS	1731			COG1132	putative ABC transporter ATP-binding/permease protein
GFGBILMD_00216	CDS	1584	cydD		COG4988	ATP-binding/permease protein CydD
GFGBILMD_00217	CDS	1041	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
GFGBILMD_00218	CDS	1458	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
GFGBILMD_00219	CDS	570				hypothetical protein
GFGBILMD_00220	CDS	1257	cya	4.6.1.1	COG2114	Adenylate cyclase
GFGBILMD_00221	tRNA	77				tRNA-Leu(caa)
GFGBILMD_00222	CDS	627	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
GFGBILMD_00223	CDS	1209				hypothetical protein
GFGBILMD_00224	CDS	492				hypothetical protein
GFGBILMD_00225	CDS	2712	polA	2.7.7.7	COG0258	DNA polymerase I
GFGBILMD_00226	CDS	1446	rpsA		COG0539	30S ribosomal protein S1
GFGBILMD_00227	CDS	1224	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
GFGBILMD_00228	CDS	444				hypothetical protein
GFGBILMD_00229	CDS	2277	uvrB		COG0556	UvrABC system protein B
GFGBILMD_00230	CDS	1416				putative multidrug-efflux transporter
GFGBILMD_00231	CDS	1569				hypothetical protein
GFGBILMD_00232	CDS	441			COG0589	Universal stress protein
GFGBILMD_00233	CDS	795				NCBIFAM: metallo-beta-lactamase core region
GFGBILMD_00234	CDS	2943	uvrA		COG0178	UvrABC system protein A
GFGBILMD_00235	CDS	258				hypothetical protein
GFGBILMD_00236	CDS	1470				hypothetical protein
GFGBILMD_00237	CDS	3336	lysX_2		COG1190	Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX
GFGBILMD_00238	CDS	522	infC		COG0290	Translation initiation factor IF-3
GFGBILMD_00239	CDS	195	rpmI		COG0291	50S ribosomal protein L35
GFGBILMD_00240	CDS	390	rplT		COG0292	50S ribosomal protein L20
GFGBILMD_00241	CDS	783	aviRb	2.1.1.208		23S rRNA (uridine(2479)-2'-O)-methyltransferase
GFGBILMD_00242	CDS	1056				hypothetical protein
GFGBILMD_00243	CDS	933				hypothetical protein
GFGBILMD_00244	CDS	951				hypothetical protein
GFGBILMD_00245	CDS	807				hypothetical protein
GFGBILMD_00246	CDS	1059	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
GFGBILMD_00247	CDS	2496	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
GFGBILMD_00248	tRNA	93				tRNA-Pro(ggg)
GFGBILMD_00249	CDS	1059	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
GFGBILMD_00250	CDS	1215	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
GFGBILMD_00251	CDS	885	argB	2.7.2.8	COG0548	Acetylglutamate kinase
GFGBILMD_00252	CDS	1203	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
GFGBILMD_00253	CDS	924	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
GFGBILMD_00254	CDS	513	argR		COG1438	Arginine repressor
GFGBILMD_00255	CDS	1197	argG	6.3.4.5	COG0137	Argininosuccinate synthase
GFGBILMD_00256	CDS	1413	argH	4.3.2.1	COG0165	Argininosuccinate lyase
GFGBILMD_00257	CDS	1062		2.3.1.-	COG3424	Polyketide synthase-like Pks10
GFGBILMD_00258	CDS	6381		2.3.1.41		Phenolphthiocerol synthesis polyketide synthase type I Pks15/1
GFGBILMD_00259	CDS	4809		2.3.1.41		Phenolphthiocerol synthesis polyketide synthase type I Pks15/1
GFGBILMD_00260	CDS	1533	pks1			Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks1
GFGBILMD_00261	CDS	3054		2.3.1.41		Phenolphthiocerol synthesis polyketide synthase type I Pks15/1
GFGBILMD_00262	CDS	1062		2.3.1.-	COG3424	Alpha-pyrone synthesis polyketide synthase-like Pks11
GFGBILMD_00263	CDS	1311		1.14.-.-	COG2124	Putative cytochrome P450 139
GFGBILMD_00264	CDS	1776	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
GFGBILMD_00265	CDS	348				hypothetical protein
GFGBILMD_00266	CDS	453				hypothetical protein
GFGBILMD_00267	CDS	612				hypothetical protein
GFGBILMD_00268	CDS	147				hypothetical protein
GFGBILMD_00269	CDS	735	cmr		COG0664	HTH-type transcriptional regulator Cmr
GFGBILMD_00270	CDS	546				hypothetical protein
GFGBILMD_00271	CDS	549	resA_1			Thiol-disulfide oxidoreductase ResA
GFGBILMD_00272	CDS	909				hypothetical protein
GFGBILMD_00273	CDS	1122	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
GFGBILMD_00274	CDS	825				hypothetical protein
GFGBILMD_00275	CDS	996	moaA_1			GTP 3',8-cyclase
GFGBILMD_00276	CDS	849				hypothetical protein
GFGBILMD_00277	CDS	2997	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
GFGBILMD_00278	CDS	225				hypothetical protein
GFGBILMD_00279	CDS	624				hypothetical protein
GFGBILMD_00280	CDS	681				hypothetical protein
GFGBILMD_00281	CDS	768	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
GFGBILMD_00282	CDS	612		3.2.2.-	COG2094	Putative 3-methyladenine DNA glycosylase
GFGBILMD_00283	CDS	1266	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
GFGBILMD_00284	CDS	384	lprJ_1			Putative lipoprotein LprJ
GFGBILMD_00285	CDS	753				hypothetical protein
GFGBILMD_00286	CDS	1062		3.1.3.21	COG0647	D,L-glycerol 3-phosphate phosphatase
GFGBILMD_00287	CDS	177				hypothetical protein
GFGBILMD_00288	CDS	807	tlyA	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
GFGBILMD_00289	CDS	924	ppnK	2.7.1.23	COG0061	NAD kinase
GFGBILMD_00290	CDS	1764	recN		COG0497	DNA repair protein RecN
GFGBILMD_00291	CDS	1176				hypothetical protein
GFGBILMD_00292	CDS	945	mctB			Copper transporter MctB
GFGBILMD_00293	CDS	1761	pyrG	6.3.4.2	COG0504	CTP synthase
GFGBILMD_00294	CDS	540	act	3.-.-.-		Methanol dehydrogenase activator
GFGBILMD_00295	CDS	936	xerD		COG4974	Tyrosine recombinase XerD
GFGBILMD_00296	CDS	1365				putative protein
GFGBILMD_00297	CDS	162				hypothetical protein
GFGBILMD_00298	CDS	702	trmR	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
GFGBILMD_00299	CDS	1671	cycA		COG1113	D-serine/D-alanine/glycine transporter
GFGBILMD_00300	CDS	1158				PPE family protein PPE26
GFGBILMD_00301	CDS	1185				hypothetical protein
GFGBILMD_00302	CDS	240				hypothetical protein
GFGBILMD_00303	CDS	168				hypothetical protein
GFGBILMD_00304	CDS	1461	bicA		COG0659	Bicarbonate transporter BicA
GFGBILMD_00305	CDS	864			COG1192	putative protein
GFGBILMD_00306	CDS	837	scpA		COG1354	Segregation and condensation protein A
GFGBILMD_00307	CDS	696	scpB			Segregation and condensation protein B
GFGBILMD_00308	CDS	762		5.4.99.-	COG1187	putative RNA pseudouridine synthase
GFGBILMD_00309	CDS	693	cmk	2.7.4.25	COG0283	Cytidylate kinase
GFGBILMD_00310	CDS	1392	der		COG1160	GTPase Der
GFGBILMD_00311	CDS	804	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
GFGBILMD_00312	CDS	915	mmgB	1.1.1.157	COG1250	putative 3-hydroxybutyryl-CoA dehydrogenase
GFGBILMD_00313	CDS	831	kynB	3.5.1.9		Kynurenine formamidase
GFGBILMD_00314	CDS	351				hypothetical protein
GFGBILMD_00315	CDS	819	kce	2.3.1.247	COG3246	3-keto-5-aminohexanoate cleavage enzyme
GFGBILMD_00316	CDS	780	ttgV_1			HTH-type transcriptional regulator TtgV
GFGBILMD_00317	CDS	108				hypothetical protein
GFGBILMD_00318	tRNA	75				tRNA-Pro(ggg)
GFGBILMD_00319	CDS	390	vapC3_1	3.1.-.-	COG4113	Ribonuclease VapC3
GFGBILMD_00320	CDS	228				Putative antitoxin VapB12
GFGBILMD_00321	CDS	1485				hypothetical protein
GFGBILMD_00322	CDS	1248	nylB	3.5.1.46		6-aminohexanoate-dimer hydrolase
GFGBILMD_00323	CDS	417				hypothetical protein
GFGBILMD_00324	CDS	711				hypothetical protein
GFGBILMD_00325	CDS	1386		1.5.3.6		6-hydroxy-D-nicotine oxidase
GFGBILMD_00326	CDS	570				hypothetical protein
GFGBILMD_00327	CDS	771				hypothetical protein
GFGBILMD_00328	CDS	939		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
GFGBILMD_00329	CDS	192				hypothetical protein
GFGBILMD_00330	CDS	1257				NCBIFAM: CMY2-MIR-ACT-EC family cephalosporin-hydrolyzing class C beta-lactamase
GFGBILMD_00331	CDS	1557	gabD2	1.2.1.79	COG1012	Putative succinate-semialdehyde dehydrogenase [NADP(+)] 2
GFGBILMD_00332	CDS	549				hypothetical protein
GFGBILMD_00333	CDS	597				putative membrane protein
GFGBILMD_00334	CDS	243			COG0508	putative protein
GFGBILMD_00335	CDS	201				hypothetical protein
GFGBILMD_00336	CDS	594			COG1275	putative membrane protein
GFGBILMD_00337	CDS	243				hypothetical protein
GFGBILMD_00338	CDS	1959	narX_1		COG2180	Nitrate reductase-like protein NarX
GFGBILMD_00339	CDS	1188	narK2		COG2223	putative nitrate/nitrite transporter NarK2
GFGBILMD_00340	CDS	333				putative protein
GFGBILMD_00341	CDS	1671			COG0659	putative sulfate transporter
GFGBILMD_00342	CDS	195			COG4423	Antitoxin VapB30
GFGBILMD_00343	CDS	249		3.1.-.-	COG3742	Ribonuclease VapC30
GFGBILMD_00344	CDS	738				hypothetical protein
GFGBILMD_00345	CDS	1701	pknE	2.7.11.1	COG0515	Serine/threonine-protein kinase PknE
GFGBILMD_00346	CDS	402				hypothetical protein
GFGBILMD_00347	CDS	612	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
GFGBILMD_00348	CDS	1431	pknF	2.7.11.1	COG0515	Serine/threonine-protein kinase PknF
GFGBILMD_00349	CDS	2592		3.6.3.-	COG0842	ABC transporter ATP-binding/permease protein
GFGBILMD_00350	CDS	672				hypothetical protein
GFGBILMD_00351	CDS	492				hypothetical protein
GFGBILMD_00352	CDS	1599		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD17
GFGBILMD_00353	CDS	1239	oxyE	1.14.13.232		6-methylpretetramide 4-monooxygenase
GFGBILMD_00354	CDS	207				hypothetical protein
GFGBILMD_00355	CDS	1407				hypothetical protein
GFGBILMD_00356	CDS	612				hypothetical protein
GFGBILMD_00357	CDS	867	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
GFGBILMD_00358	CDS	435				hypothetical protein
GFGBILMD_00359	CDS	786				hypothetical protein
GFGBILMD_00360	CDS	1167				hypothetical protein
GFGBILMD_00361	CDS	741				hypothetical protein
GFGBILMD_00362	CDS	627				hypothetical protein
GFGBILMD_00363	CDS	603	betI_1			HTH-type transcriptional regulator BetI
GFGBILMD_00364	CDS	1350		1.14.-.-	COG2124	Putative cytochrome P450 135A1
GFGBILMD_00365	CDS	690				hypothetical protein
GFGBILMD_00366	CDS	681				hypothetical protein
GFGBILMD_00367	CDS	672	mshB_1	3.5.1.103		1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
GFGBILMD_00368	CDS	1332	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
GFGBILMD_00369	CDS	573	dcd	3.5.4.30	COG0717	dCTP deaminase, dUMP-forming
